Known As,Full Name,Overall,Latest Award,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Full Image,Age,Height(in cm),Weight(in kg),Club Name,Wage(in Euro),Release Clause,Club Position,Preferred Foot,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Penalties
K. Mbappé,Kylian Mbappé,91,Golden Boot,167202000,"ST,LW",ST,France,https://cdn.sofifa.net/players/231/747/23_60.png,https://cdn.britannica.com/39/239139-050-49A950D1/French-soccer-player-Kylian-Mbappe-FIFA-World-Cup-December-10-2022.jpg?w=400&h=300&c=crop,25,182,73,Paris Saint-Germain,48000000,366700000,ST,Right,France,https://cdn.sofifa.net/flags/fr.png,ST,10,High,Low,97,89,80,80
E. Haaland,Erling Haaland,88,,148000000,ST,ST,Norway,https://cdn.sofifa.net/players/239/085/23_60.png,,21,195,94,Manchester City,220000,303400000,ST,Left,Norway,https://cdn.sofifa.net/flags/no.png,ST,9,High,Medium,89,91,65,76
F. de Jong,Frenkie de Jong,87,,116500000,CM,CM,Netherlands,https://cdn.sofifa.net/players/228/702/23_60.png,,25,180,74,FC Barcelona,230000,247600000,CM,Right,Netherlands,https://cdn.sofifa.net/flags/nl.png,CDM,21,High,Medium,82,69,86,53
Pedri,Pedro González López,85,,116000000,CM,CM,Spain,https://cdn.sofifa.net/players/251/854/23_60.png,,19,174,61,FC Barcelona,115000,261000000,CM,Right,Spain,https://cdn.sofifa.net/flags/es.png,CM,10,High,High,79,67,81,53
M. Salah,Mohamed Salah,90,,115500000,RW,RW,Egypt,https://cdn.sofifa.net/players/209/331/23_60.png,,30,175,71,Liverpool,270000,213700000,RW,Left,-,-,-,-,High,Medium,90,89,82,86
P. Foden,Phil Foden,85,,109500000,"LW,CF,CAM",CAM,England,https://cdn.sofifa.net/players/237/692/23_60.png,,22,171,69,Manchester City,180000,224500000,LW,Left,England,https://cdn.sofifa.net/flags/gb-eng.png,RW,20,High,High,82,78,81,64
Vinícius Jr.,Vinícius José de Oliveira Júnior,86,,109000000,LW,LW,Brazil,https://cdn.sofifa.net/players/238/794/23_60.png,,21,176,73,Real Madrid CF,200000,245300000,LW,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,95,79,74,65
K. De Bruyne,Kevin De Bruyne,91,,107500000,"CM,CAM",CM,Belgium,https://cdn.sofifa.net/players/192/985/23_60.png,,31,181,70,Manchester City,350000,198900000,CM,Right,Belgium,https://cdn.sofifa.net/flags/be.png,RF,7,High,High,74,88,93,83
Rúben Dias,Rúben Santos Gato Alves Dias,88,,107500000,CB,CB,Portugal,https://cdn.sofifa.net/players/239/818/23_60.png,,25,187,82,Manchester City,230000,206900000,CB,Right,Portugal,https://cdn.sofifa.net/flags/pt.png,CB,4,Medium,High,63,39,66,45
H. Kane,Harry Kane,89,,105500000,ST,ST,England,https://cdn.sofifa.net/players/202/126/23_60.png,,28,188,89,Tottenham Hotspur,240000,200500000,ST,Right,England,https://cdn.sofifa.net/flags/gb-eng.png,ST,9,High,High,68,91,83,92
J. Kimmich,Joshua Kimmich,89,,105500000,"CDM,RB",CDM,Germany,https://cdn.sofifa.net/players/212/622/23_60.png,,27,177,75,FC Bayern München,130000,182000000,CDM,Right,Germany,https://cdn.sofifa.net/flags/de.png,CDM,6,High,Medium,68,72,87,44
G. Donnarumma,Gianluigi Donnarumma,88,,103500000,GK,GK,Italy,https://cdn.sofifa.net/players/230/621/23_60.png,,23,196,90,Paris Saint-Germain,110000,199200000,GK,Right,Italy,https://cdn.sofifa.net/flags/it.png,GK,21,Medium,Medium,90,83,79,24
H. Son,Heung Min Son,89,,101000000,"LW,LM",LW,Korea Republic,https://cdn.sofifa.net/players/200/104/23_60.png,,29,183,78,Tottenham Hotspur,240000,191900000,LW,Right,-,-,-,-,High,Medium,88,89,82,73
T. Alexander-Arnold,Trent Alexander-Arnold,87,,100500000,RB,CM,England,https://cdn.sofifa.net/players/231/281/23_60.png,,23,180,69,Liverpool,150000,193500000,RB,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,76,69,89,55
Neymar Jr,Neymar da Silva Santos Jr.,89,,99500000,LW,LW,Brazil,https://cdn.sofifa.net/players/190/871/23_60.png,,30,175,68,Paris Saint-Germain,200000,184100000,LW,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,87,83,85,91
S. Mané,Sadio Mané,89,,99500000,"LM,CF",LM,Senegal,https://cdn.sofifa.net/players/208/722/23_60.png,,30,174,69,FC Bayern München,145000,164200000,ST,Right,-,-,-,-,High,Medium,90,83,80,75
L. Martínez,Lautaro Martínez,86,,98500000,ST,ST,Argentina,https://cdn.sofifa.net/players/231/478/23_60.png,,24,174,72,Inter,110000,169900000,ST,Right,Argentina,https://cdn.sofifa.net/flags/ar.png,ST,22,High,Medium,83,83,72,74
V. van Dijk,Virgil van Dijk,90,,98000000,CB,CB,Netherlands,https://cdn.sofifa.net/players/203/376/23_60.png,,30,193,92,Liverpool,230000,181300000,CB,Right,Netherlands,https://cdn.sofifa.net/flags/nl.png,CB,4,Medium,High,81,60,71,62
Bernardo Silva,Bernardo Mota Carvalho e Silva,88,,97500000,"CAM,CM",CAM,Portugal,https://cdn.sofifa.net/players/218/667/23_60.png,,27,173,64,Manchester City,260000,180400000,RW,Left,Portugal,https://cdn.sofifa.net/flags/pt.png,CM,10,High,High,77,78,84,68
C. Nkunku,Christopher Nkunku,86,,94000000,"CF,CAM,ST",CAM,France,https://cdn.sofifa.net/players/232/411/23_60.png,,24,175,73,RB Leipzig,90000,166900000,CAM,Right,France,https://cdn.sofifa.net/flags/fr.png,SUB,12,High,Medium,88,81,83,67
Marquinhos,Marcos Aoás Corrêa,88,,92000000,CB,CB,Brazil,https://cdn.sofifa.net/players/207/865/23_60.png,,28,183,75,Paris Saint-Germain,170000,177100000,CB,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,High,79,56,75,52
